x=chi_perp	y=chi_par	z=eta	v=Mtot	data=Log10[Mean[Mismatch]]	Overall_Training_Rel.Diff. = 0.00507569
x=chi_perp	y=chi_par	z=eta	v=Mtot	Overall_chiSqDoF. = 0.65691	Overall_reduced_Rsq = 0.989687
Coefs_below_for_fit(x,y,z,v)	Use_these_directly	x=x	y=y	z=z	v=v
i	j	k	l	C[i,j,k,l]	Max[Log10[Mismatch]]
3	3	1	2	-912837.0576104716	-1.1889296889307692
3	3	1	3	-201138.82357624895	-1.1889296889307692
3	3	2	0	1.8251442875439096e6	-1.1889296889307692
3	3	2	1	-343976.6021604407	-1.1889296889307692
3	3	2	2	-2.3258493165840856e6	-1.1889296889307692
3	3	2	3	-322641.2223313897	-1.1889296889307692
4	0	0	0	102309.203437336	-1.1889296889307692
4	0	0	1	1020.5995424742895	-1.1889296889307692
4	0	0	3	477.5407682981752	-1.1889296889307692
4	0	1	0	652229.1627141279	-1.1889296889307692
4	0	1	1	1532.0255044563967	-1.1889296889307692
4	0	1	2	458103.50915332604	-1.1889296889307692
4	0	1	3	1024.1143728449836	-1.1889296889307692
4	0	2	0	3.718408909280971e6	-1.1889296889307692
4	0	2	1	65272.05847189856	-1.1889296889307692
4	0	2	2	590728.9842195491	-1.1889296889307692
4	0	2	3	-713.4269680479478	-1.1889296889307692
4	1	0	0	82793.43233965195	-1.1889296889307692
4	1	0	1	-1486.4747013123902	-1.1889296889307692
4	1	0	3	1189.3840730857771	-1.1889296889307692
4	1	1	0	-642610.9890196105	-1.1889296889307692
4	1	1	1	-8557.041178272135	-1.1889296889307692
4	1	1	2	409505.6876681215	-1.1889296889307692
4	1	1	3	-14665.868976622678	-1.1889296889307692
4	1	2	0	-809693.2153739331	-1.1889296889307692
4	1	2	1	-6879.552329234481	-1.1889296889307692
4	1	2	2	-413.3070998366542	-1.1889296889307692
4	1	2	3	60622.45270213141	-1.1889296889307692
4	2	0	0	338288.68819094286	-1.1889296889307692
4	2	0	1	1020.8957219928867	-1.1889296889307692
4	2	0	3	-12034.508252728332	-1.1889296889307692
4	2	1	0	1.433188296342951e6	-1.1889296889307692
4	2	1	1	-164651.71210236166	-1.1889296889307692
4	2	1	2	-866117.4182649198	-1.1889296889307692
4	2	1	3	-155212.4708672677	-1.1889296889307692
4	2	2	0	9.86008145094191e6	-1.1889296889307692
4	2	2	1	459369.97966769896	-1.1889296889307692
4	2	2	2	-3.220504331233742e6	-1.1889296889307692
4	2	2	3	534630.2297133135	-1.1889296889307692
4	3	0	0	42575.84173254453	-1.1889296889307692
4	3	0	1	-71309.88649622454	-1.1889296889307692
4	3	0	3	-105958.19204463513	-1.1889296889307692
4	3	1	0	-707024.680704185	-1.1889296889307692
4	3	1	1	-82208.64249018274	-1.1889296889307692
4	3	1	2	-298866.44167916995	-1.1889296889307692
4	3	1	3	245800.01117590893	-1.1889296889307692
4	3	2	0	1.4651507602549356e6	-1.1889296889307692
4	3	2	1	59342.23115012096	-1.1889296889307692
4	3	2	2	-778220.7565329156	-1.1889296889307692
4	3	2	3	-653821.5096455364	-1.1889296889307692
